Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,PCE,Light,V_f,J_f,V_r,J_r,Acq Soak Voltage,Acq Soak Time,Acq Hold Time,Acq Step Voltage,Acq Rev Voltage,Acq Forw Voltage,Architecture,Direction,Num Track Devices,Delay Before Meas,Track Time,Hold Track Time,Device Area,Operator,Comments
25,2018-11-14,19-38-44,0,0,0,0,0,0,0,0,-0.200000001,-0.02002508547008547,1.0999999989999993,17.87524786324786,1.0,0.0,0.0,0.02,-0.2,1.1,0.0,0.0,1.0,1.0,30,0.2,0.117,,
,2018-11-14,19-38-44,0,0,0,0,0,0,0,0,-0.18000000100000002,-0.017421555555555555,1.0799999989999993,13.677649572649571,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.16000000100000003,-0.016226880341880343,1.0599999989999993,10.299803418803418,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.14000000100000004,-0.015325273504273502,1.0399999989999993,7.662982051282051,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.12000000100000005,-0.01458159829059829,1.0199999989999993,5.574900854700854,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.10000000100000006,-0.013924897435897435,0.9999999989999993,4.030788888888888,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.08000000100000007,-0.013357623931623932,0.9799999989999995,2.891839316239316,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.06000000100000008,-0.012834128205128205,0.9599999989999994,2.062933333333333,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.04000000100000009,-0.012359008547008546,0.9399999989999994,1.4670299145299142,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0200000010000001,-0.011925923076923077,0.9199999989999994,1.0416196581196582,,,,,,,,,,,,,,,
,,,,,,,,,,,-1.0000001104959466e-09,-0.011518846153846154,0.8999999989999994,0.741334358974359,,,,,,,,,,,,,,,
,,,,,,,,,,,0.01999999899999988,-0.011118393162393162,0.8799999989999994,0.5215014529914529,,,,,,,,,,,,,,,
,,,,,,,,,,,0.03999999899999987,-0.01075617094017094,0.8599999989999993,0.37029547008547004,,,,,,,,,,,,,,,
,,,,,,,,,,,0.05999999899999989,-0.010401837606837605,0.8399999989999996,0.26309034188034186,,,,,,,,,,,,,,,
,,,,,,,,,,,0.07999999899999985,-0.010070931623931623,0.8199999989999995,0.18686974358974356,,,,,,,,,,,,,,,
,,,,,,,,,,,0.09999999899999981,-0.009739444444444445,0.7999999989999995,0.13253205128205128,,,,,,,,,,,,,,,
,,,,,,,,,,,0.11999999899999983,-0.00940157264957265,0.7799999989999995,0.09391333333333332,,,,,,,,,,,,,,,
,,,,,,,,,,,0.13999999899999985,-0.009097418803418803,0.7599999989999995,0.06745222222222222,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1599999989999998,-0.008774914529914529,0.7399999989999995,0.04633382905982905,,,,,,,,,,,,,,,
,,,,,,,,,,,0.17999999899999977,-0.010085717948717949,0.7199999989999994,0.03182577777777777,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1999999989999998,-0.008589299145299144,0.6999999989999995,0.021267452991452992,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2199999989999998,-0.00960291452991453,0.6799999989999995,0.013370512820512818,,,,,,,,,,,,,,,
,,,,,,,,,,,0.23999999899999977,-0.009404632478632479,0.6599999989999995,0.009482555555555557,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2599999989999997,-0.00913219658119658,0.6399999989999996,0.005207261538461538,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2799999989999997,-0.008631982905982905,0.6199999989999996,0.00013266666666666667,,,,,,,,,,,,,,,
,,,,,,,,,,,0.29999999899999974,-0.00713188547008547,0.5999999989999996,-0.003213594017094017,,,,,,,,,,,,,,,
,,,,,,,,,,,0.31999999899999976,-0.006532987179487179,0.5799999989999995,-0.005981807692307692,,,,,,,,,,,,,,,
,,,,,,,,,,,0.33999999899999966,-0.006135759829059829,0.5599999989999995,-0.008058187179487178,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3599999989999997,-0.005526709401709402,0.5399999989999996,-0.008979393162393162,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3799999989999997,-0.00495948547008547,0.5199999989999996,-0.008979393162393162,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3999999989999996,-0.004329907692307692,0.4999999989999996,-0.007877377777777778,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4199999989999996,-0.0036698145299145298,0.4799999989999997,-0.010111068376068375,,,,,,,,,,,,,,,
,,,,,,,,,,,0.43999999899999964,-0.0029404418803418804,0.45999999899999966,-0.010998923076923078,,,,,,,,,,,,,,,
,,,,,,,,,,,0.45999999899999966,-0.002126328205128205,0.43999999899999964,-0.011669837606837607,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4799999989999997,-0.00114911452991453,0.4199999989999996,-0.01217890598290598,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4999999989999996,-6.677194017094017e-05,0.3999999989999996,-0.01269111111111111,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5199999989999996,0.0013103923076923077,0.3799999989999997,-0.013135290598290597,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5399999989999996,0.002880613675213675,0.3599999989999997,-0.013451264957264956,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5599999989999995,0.005061694871794872,0.33999999899999966,-0.01376074358974359,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5799999989999995,0.0073780811965811965,0.31999999899999976,-0.014025752136752136,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5999999989999996,0.008973794871794871,0.29999999899999974,-0.014217974358974358,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6199999989999996,0.009527230769230769,0.2799999989999997,-0.014411470085470083,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6399999989999996,0.014842017094017093,0.2599999989999997,-0.014569153846153845,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6599999989999995,0.02009411111111111,0.23999999899999977,-0.01474607692307692,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6799999989999995,0.02682847863247863,0.2199999989999998,-0.014878333333333332,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6999999989999995,0.03569920512820513,0.1999999989999998,-0.014758606837606837,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7199999989999994,0.04752288034188034,0.17999999899999977,-0.015123547008547008,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7399999989999995,0.06345236752136751,0.1599999989999998,-0.015207666666666666,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7599999989999995,0.08590034188034187,0.13999999899999985,-0.015310581196581198,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7799999989999995,0.11445179487179485,0.11999999899999983,-0.01540582905982906,,,,,,,,,,,,,,,
,,,,,,,,,,,0.7999999989999995,0.15570017094017094,0.09999999899999981,-0.015498897435897434,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8199999989999995,0.21175017094017093,0.07999999899999985,-0.015566094017094016,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8399999989999996,0.2910326495726495,0.05999999899999989,-0.015647606837606836,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8599999989999993,0.4029935897435897,0.03999999899999987,-0.01572108547008547,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8799999989999994,0.5606251282051282,0.01999999899999988,-0.0157881452991453,,,,,,,,,,,,,,,
,,,,,,,,,,,0.8999999989999994,0.78205452991453,-1.0000001104959466e-09,-0.015859803418803418,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9199999989999994,1.0989803418803417,-0.0200000010000001,-0.01595096581196581,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9399999989999994,1.5303316239316238,-0.04000000100000009,-0.01602323076923077,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9599999989999994,2.1256606837606835,-0.06000000100000008,-0.01609401709401709,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9799999989999995,2.9525410256410254,-0.08000000100000007,-0.016184119658119656,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9999999989999993,4.085355555555555,-0.10000000100000006,-0.016294222222222224,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0199999989999993,5.6185316239316245,-0.12000000100000005,-0.016426324786324786,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0399999989999993,7.659977777777777,-0.14000000100000004,-0.016591239316239317,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0599999989999993,10.305538461538461,-0.16000000100000003,-0.016803529914529915,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0799999989999993,13.71179487179487,-0.18000000100000002,-0.017064393162393162,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0999999989999993,17.888632478632477,-0.200000001,-0.017408410256410257,,,,,,,,,,,,,,,
